player,champion,mastery,total_games_played,win_rate,kda_ratio,average_gold_per_minute,average_cs_per_minute
"Player(name='btakiii', tag='6666')",jhin,64838,7,0.7140000000000001,3.84,437.5,6.2
"Player(name='MrMadness', tag='EUNE')",senna,48671,5,0.8,8.3846,441.7,2.6
"Player(name='PIRIGZ', tag='EUNE')",aatrox,24611,1,0.0,1.5,384.4,6.7
"Player(name='XASAME%20ALITHEIA', tag='EUNE')",jarvaniv,66927,3,0.33299999999999996,2.2466,375.2,4.9
"Player(name='SBR98', tag='EUNE')",malzahar,48629,9,0.667,1.2059,428.3,6.8
"Player(name='Pythoni', tag='EUNE')",caitlyn,52227,5,0.4,1.7895,394.3,6.2
"Player(name='Bondis', tag='EUNE')",lux,451504,18,0.667,3.3148,368.2,2.3
"Player(name='Tryyourself', tag='EUNE')",pantheon,6707,1,0.0,1.8333,451.8,7.0
"Player(name='ORTHOPAIDIKOSSSS', tag='EUNE')",nocturne,36957,34,0.618,2.2468,401.9,5.4
"Player(name='miYYYagi', tag='EUNE')",fizz,78075,59,0.61,2.625,416.2,5.2
"Player(name='EvilG%C3%B9ard', tag='EUNE')",vayne,223227,15,0.733,2.4306,422.1,5.1
"Player(name='Jasiell00', tag='OWO')",karma,26862,2,0.0,1.6,256.3,1.0
"Player(name='Brose', tag='EUNE')",gwen,82140,61,0.574,2.1064,427.8,7.3
"Player(name='PA%C5%A4O', tag='EUNE')",belveth,3492,4,1.0,2.96,470.8,7.2
"Player(name='Himura21', tag='9301')",zed,503032,6,0.5,1.9104,429.2,6.4
"Player(name='HLDart', tag='EUNE')",ashe,44828,3,0.667,2.3284,436.1,6.4
"Player(name='MirrorFear', tag='EUNE')",braum,99664,2,1.0,5.125,301.6,0.7
"Player(name='Minor%20Rodent', tag='EUNE')",sion,99570,3,1.0,3.0857,469.3,8.4
"Player(name='xD%20Buff%20Addict%20', tag='EUNE')",pantheon,338631,5,0.8,3.3077,400.4,4.9
"Player(name='TheGrandGeneral', tag='1044')",swain,397432,31,0.581,5.931,388.4,5.8
"Player(name='figurant', tag='EUNE')",samira,104134,10,0.7,1.9655,478.6,6.2
"Player(name='okoun%C3%A1tor', tag='EUNE')",renata,7794,4,0.75,3.55,306.1,1.1
"Player(name='EIMAI%20REAL%20CROOK', tag='EUNE')",wukong,592792,142,0.5489999999999999,2.5873,427.9,5.3
"Player(name='jimhsThePain', tag='EUNE')",jax,180091,15,0.467,2.0732,449.0,6.0
"Player(name='i%20m%20yikes', tag='L99')",ryze,35380,4,0.75,2.7708,443.9,7.7
"Player(name='PA%C5%A4O', tag='EUNE')",ezreal,90572,4,0.5,2.8868,468.9,7.3
"Player(name='Ant1vist', tag='EUNE')",teemo,428736,11,0.545,2.0556,368.9,5.8
"Player(name='SilentBomber', tag='EUNE')",kled,852734,11,0.455,2.1159,404.8,5.8
"Player(name='PA%C5%A4O', tag='EUNE')",shaco,39312,3,0.667,2.5849,386.2,4.1
"Player(name='Bi%C8%99taru', tag='EUNE')",annie,35990,2,0.5,1.375,399.6,5.4
"Player(name='figurant', tag='EUNE')",missfortune,84100,3,0.667,1.8736,455.9,6.8
"Player(name='okoun%C3%A1tor', tag='EUNE')",alistar,173,1,0.0,2.0,280.1,1.3
"Player(name='topgap69', tag='EUNE')",jax,40100,10,0.5,1.3036,430.3,6.8
"Player(name='Makowiec%20Mammon', tag='EUNE')",belveth,22979,6,0.833,4.7143,493.9,7.0
"Player(name='hayna', tag='EUNE')",vladimir,478210,22,0.545,2.3676,425.6,6.4
"Player(name='maksik929', tag='EUNE')",kaisa,92544,2,1.0,2.5385,409.9,6.6
"Player(name='PELOPIDAS33', tag='EUNE')",leona,379718,35,0.629,4.0612,335.1,1.6
"Player(name='PA%C5%A4O', tag='EUNE')",nilah,11591,3,0.667,3.7209,506.9,7.6
"Player(name='Yummi%20Bot', tag='EUNE')",masteryi,933121,87,0.575,2.3871,421.1,6.3
"Player(name='HOT%20RETIRED', tag='EUNE')",malzahar,11296,1,0.0,1.4286,420.3,6.8
"Player(name='Kubox666', tag='1939')",aatrox,157241,36,0.5,2.6939,405.6,6.9
"Player(name='teofanov03', tag='EUNE')",lux,378442,28,0.607,2.6923,344.8,1.5
"Player(name='piranc%20vonalas', tag='222')",gangplank,672555,39,0.6920000000000001,3.0652,468.4,7.2
"Player(name='Et%C3%ABrnalYi', tag='EUNE')",shaco,5032,1,1.0,2.0909,412.8,5.5
"Player(name='Prod%C3%A1m%20Yangy%20PM', tag='EUNE')",vladimir,146017,4,0.75,3.0429,436.8,6.2
"Player(name='Try4ardOrGoHom3', tag='EUNE')",jinx,105041,5,0.6,2.2857,458.7,7.2
"Player(name='DrillZZ', tag='EUNE')",pyke,64668,8,0.625,2.0617,344.7,1.2
